"PERIOD","UNI","FIELD","LEVEL","SEX","VALUE"
"2000/01","1","1","1","1","399"
"2000/01","1","1","1","2","56"
"2000/01","1","1","5","1","10"
"2000/01","1","1","5","2","4"
"2000/01","1","2","1","1","1114"
"2000/01","1","2","1","2","47"
"2000/01","1","2","5","1","231"
"2000/01","1","2","5","2","6"
"2000/01","1","3","1","1","42"
"2000/01","1","3","1","2","6"
"2000/01","1","4","1","1","159"
"2000/01","1","4","1","2","31"
"2000/01","1","4","5","1","4"
"2000/01","1","4","5","2","2"
"2000/01","1","5","1","1","357"
"2000/01","1","5","1","2","145"
"2000/01","1","5","5","1","762"
"2000/01","1","5","5","2","41"
"2000/01","1","6","1","1","20"
"2000/01","1","6","1","2","50"
"2000/01","1","7","1","1","28"
"2000/01","1","7","1","2","7"
"2000/01","1","7","5","1","25"
"2000/01","1","7","5","2","8"
"2000/01","1","8","1","1","186"
"2000/01","1","8","1","2","196"
"2000/01","1","8","5","1","12"
"2000/01","1","8","5","2","17"
"2000/01","1","12","1","1","49"
"2000/01","1","12","1","2","176"
"2000/01","3","1","1","1","369"
"2000/01","3","1","1","2","63"
"2000/01","3","2","1","1","1950"
"2000/01","3","2","1","2","69"
"2000/01","3","2","5","1","39"
"2000/01","3","2","5","2","4"
"2000/01","3","3","1","1","227"
"2000/01","3","3","1","2","90"
"2000/01","3","4","1","1","47"
"2000/01","3","4","1","2","9"
"2000/01","3","5","1","1","1441"
"2000/01","3","5","1","2","934"
"2000/01","3","5","5","1","140"
"2000/01","3","5","5","2","12"
"2000/01","3","6","1","1","110"
"2000/01","3","6","1","2","159"
"2000/01","3","6","5","1","3"
"2000/01","4","1","1","1","224"
"2000/01","4","1","1","2","45"
"2000/01","4","1","5","1","11"
"2000/01","4","1","5","2","3"
"2000/01","4","2","1","1","900"
"2000/01","4","2","1","2","24"
"2000/01","4","2","5","1","131"
"2000/01","4","2","5","2","13"
"2000/01","4","3","1","1","64"
"2000/01","4","3","1","2","11"
"2000/01","4","3","5","1","3"
"2000/01","4","3","5","2","3"
"2000/01","4","5","1","1","677"
"2000/01","4","5","1","2","288"
"2000/01","4","5","5","1","254"
"2000/01","4","5","5","2","140"
"2000/01","4","6","1","1","113"
"2000/01","4","6","1","2","106"
"2000/01","4","8","1","1","39"
"2000/01","4","8","1","2","64"
"2000/01","4","12","1","1","98"
"2000/01","4","12","1","2","149"
"2000/01","4","14","1","1","5"
"2000/01","4","14","1","2","36"
"2000/01","5","1","1","1","149"
"2000/01","5","1","1","2","22"
"2000/01","5","2","1","1","389"
"2000/01","5","2","1","2","10"
"2000/01","5","2","5","1","46"
"2000/01","5","2","5","2","2"
"2000/01","5","5","1","1","324"
"2000/01","5","5","1","2","71"
"2000/01","5","5","5","1","316"
"2000/01","5","5","5","2","30"
"2000/01","5","6","1","1","31"
"2000/01","5","6","1","2","58"
"2000/01","5","8","1","1","189"
"2000/01","5","8","1","2","187"
"2000/01","5","12","1","1","49"
"2000/01","5","12","1","2","124"
"2000/01","6","1","1","1","127"
"2000/01","6","1","1","2","10"
"2000/01","6","2","1","1","175"
"2000/01","6","2","1","2","5"
"2000/01","6","2","5","1","35"
"2000/01","6","5","1","1","154"
"2000/01","6","5","1","2","62"
"2000/01","6","5","5","1","38"
"2000/01","6","5","5","2","6"
"2000/01","6","6","1","1","53"
"2000/01","6","6","1","2","56"
"2000/01","6","12","1","1","59"
"2000/01","6","12","1","2","82"
"2000/01","7","1","1","1","231"
"2000/01","7","1","1","2","57"
"2000/01","7","2","1","1","1116"
"2000/01","7","2","1","2","18"
"2000/01","7","2","5","1","110"
"2000/01","7","2","5","2","7"
"2000/01","7","3","1","1","8"
"2000/01","7","3","1","2","4"
"2000/01","7","5","1","1","345"
"2000/01","7","5","1","2","141"
"2000/01","7","5","5","1","242"
"2000/01","7","5","5","2","47"
"2000/01","7","12","1","1","62"
"2000/01","7","12","1","2","73"
"2000/01","10","1","1","1","288"
"2000/01","10","1","1","2","58"
"2000/01","10","2","1","1","974"
"2000/01","10","2","1","2","41"
"2000/01","10","2","5","1","45"
"2000/01","10","2","5","2","5"
"2000/01","10","3","1","1","233"
"2000/01","10","3","1","2","87"
"2000/01","10","4","1","1","28"
"2000/01","10","4","1","2","21"
"2000/01","10","5","1","1","1093"
"2000/01","10","5","1","2","507"
"2000/01","10","5","5","1","265"
"2000/01","10","5","5","2","60"
"2000/01","10","6","1","1","200"
"2000/01","10","6","1","2","281"
"2000/01","10","6","5","1","4"
"2000/01","10","6","5","2","8"
"2000/01","10","8","1","1","354"
"2000/01","10","8","1","2","498"
"2000/01","10","11","1","1","16"
"2000/01","10","11","1","2","111"
"2000/01","10","12","1","1","176"
"2000/01","10","12","1","2","327"
"2000/01","10","13","1","1","45"
"2000/01","10","13","1","2","107"
"2000/01","10","13","5","1","5"
"2000/01","10","13","5","2","8"
"2000/01","18","2","1","1","26"
"2000/01","18","2","1","2","2"
"2000/01","18","2","5","1","9"
"2000/01","18","2","5","2","2"
"2000/01","18","5","1","1","57"
"2000/01","18","5","1","2","7"
"2000/01","18","5","5","1","21"
"2000/01","18","5","5","2","2"
"2000/01","18","8","1","1","278"
"2000/01","18","8","1","2","257"
"2000/01","18","8","5","1","1"
"2000/01","18","8","5","2","1"
"2000/01","18","12","1","1","15"
"2000/01","18","12","1","2","37"
"2001/02","1","1","1","1","388"
"2001/02","1","1","1","2","57"
"2001/02","1","1","5","1","21"
"2001/02","1","1","5","2","6"
"2001/02","1","2","1","1","1195"
"2001/02","1","2","1","2","55"
"2001/02","1","2","5","1","272"
"2001/02","1","2","5","2","9"
"2001/02","1","3","1","1","46"
"2001/02","1","3","1","2","7"
"2001/02","1","4","1","1","157"
"2001/02","1","4","1","2","29"
"2001/02","1","4","5","1","3"
"2001/02","1","4","5","2","1"
"2001/02","1","5","1","1","456"
"2001/02","1","5","1","2","211"
"2001/02","1","5","5","1","1406"
"2001/02","1","5","5","2","91"
"2001/02","1","6","1","1","27"
"2001/02","1","6","1","2","55"
"2001/02","1","7","1","1","43"
"2001/02","1","7","1","2","13"
"2001/02","1","7","5","1","26"
"2001/02","1","7","5","2","8"
"2001/02","1","8","1","1","225"
"2001/02","1","8","1","2","208"
"2001/02","1","12","1","1","52"
